,embedding,name,label,sub_label,parts,sample_id,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,visibleMethodsQty,type,from_project,RM_LOC,RM_LCOM5,RM_NADC,RM_ATFD,RM_WMC
620,"[-2.16944553 -1.57517689  0.91312689 ... -6.00563937 -1.076992
  2.62964024]",5501417,not_blob,not_blob,train,5501417,7,2.0,1,12,1.0,0.2613972291937913,0.32355633344881946,2,1,1,1,0,0,1,0,0,0,4,4,0,4,0,0.0,4,0,15.0,0,0,0,1,0,5,2,6,0,6,1,0,0,0,47,17,0,,,,,,,,
621,"[-1.52659034 -1.27868233  1.5247044  ... -1.32490161 -0.81081897
  1.73537648]",5507211,not_blob,not_blob,train,5507211,2,1.0,1,2,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,,,,,,,,
622,"[-3.11722992  1.47893082 17.71685021 ... -8.28964263  3.05598159
 -2.18135984]",5514575,not_blob,not_blob,train,5514575,7,6.0,1,1,3.0,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,3,1,0,1,2,0.0,1,0,22.0,3,0,0,0,0,3,1,4,1,3,0,0,0,0,31,1,0,,,,,,,,
623,"[-5.11477051 -2.19964261  2.71820992 ... -4.37962586 -2.87493341
  2.79863288]",5515133,not_blob,not_blob,test,5515133,2,1.0,1,4,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,12.0,0,0,0,1,0,2,0,1,0,1,2,0,0,0,15,17,0,,,,,,,,
624,"[-0.96566103 -3.44364857  6.0989432  ... -8.95496365 -2.65099627
  5.1959011 ]",5515839,not_blob,not_blob,train,5515839,0,4.0,1,0,2.0,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0.0,0,0,16.0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1,0,,,,,,,,
625,"[-14.17227986  -4.8178027   33.25501917 ... -30.71186677  -9.73306662
  16.8587639 ]",5515917,not_blob,not_blob,train,5515917,10,7.0,1,17,8.0,0.16666667,0.16666667,5,4,4,1,0,0,4,0,0,0,1,1,0,1,0,0.0,1,0,53.0,4,2,0,0,0,1,1,7,4,7,1,0,1,0,54,17,0,,,,,,,,
626,"[ -78.32261333  -48.02241118   70.42945793 ... -128.35351649   -9.63683809
   16.55719536]",5516476,not_blob,not_blob,train,5516476,59,53.0,1,109,172.0,0.2,0.62857145,24,0,14,9,0,1,15,0,0,2,18,4,0,18,0,0.0,16,5,246.0,9,9,3,3,0,43,8,56,19,54,3,0,0,0,191,16,0,,,,,,,,
627,"[ -65.60158797    5.38864377  127.45868672 ... -121.49720289   14.73663197
    6.51918704]",5517044,not_blob,not_blob,train,5517044,13,62.0,1,36,1014.0,0.06802721,0.88095236,49,2,48,0,1,0,49,0,0,0,39,17,0,24,0,15.0,4,18,284.0,23,0,4,0,0,94,21,82,17,43,4,0,0,0,118,1,9,,,,,,,,
628,"[-25.61130714   1.02102209 -11.0400393  ... -39.4599044  -35.35155103
   7.76548691]",5519299,not_blob,not_blob,train,5519299,7,24.0,1,30,0.0,0.16666667,0.16666667,8,0,4,4,0,0,4,0,0,0,3,1,0,3,0,0.0,2,0,92.0,1,0,5,5,0,9,0,14,0,13,4,0,0,0,41,1,9,,,,,,,,
629,"[ 0.70180812 -0.21505563  2.48987278 ... -3.98499482  0.61740923
  0.5225578 ]",5520288,not_blob,not_blob,train,5520288,4,3.0,1,2,3.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,1,0,1,0,0.0,1,0,14.0,1,0,0,0,0,1,1,2,0,2,0,0,0,0,20,10,0,,,,,,,,
630,"[-18.89470359 -20.67936263  67.20423002 ... -44.06479093   9.14895911
  16.5411457 ]",5524586,not_blob,not_blob,train,5524586,12,50.0,2,13,71.0,0.29239765,0.79532164,19,0,19,0,0,0,19,0,0,0,8,1,0,1,7,0.0,1,0,118.0,28,0,23,0,14,26,12,19,15,12,3,0,0,0,49,1,0,,,,,,,,
631,"[ -8.31387583  -6.34754889  14.79597605 ... -15.96283966  -5.16375879
  14.66464831]",5527964,not_blob,not_blob,train,5527964,7,11.0,2,8,21.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,7,7,7,0,0,0.0,7,0,47.0,6,0,3,1,0,7,1,8,7,8,2,0,0,0,59,1,0,,,,,,,,
632,"[-20.36916156   4.21517858  -0.79011708 ... -23.79535244 -15.59039694
  -3.24214769]",5529562,not_blob,not_blob,train,5529562,17,20.0,2,32,6.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,80.0,0,4,7,1,1,18,2,23,3,17,4,0,0,0,61,17,0,,,,,,,,
633,"[ -8.0816697   -2.71753363   4.14623274 ... -14.88942675  -1.72452548
   7.62164223]",5533033,not_blob,not_blob,train,5533033,11,6.0,1,14,4.0,1.0,1.0,5,0,3,2,0,0,3,0,0,0,1,0,0,1,0,0.0,1,0,25.0,4,0,0,0,0,0,0,3,0,5,1,0,0,2,25,1,0,,,,,,,,
634,"[-2.84575165 -0.22099179  2.86613956 ... -4.16417408 -1.43565318
  1.57642432]",5536525,not_blob,not_blob,train,5536525,2,4.0,1,2,0.0,0.6666667,1.0,3,0,0,0,0,3,3,0,0,1,3,0,0,3,0,0.0,2,0,20.0,1,0,2,0,0,0,0,5,0,3,1,0,0,0,14,26,0,,,,,,,,
635,"[-13.29767225 -16.76930574  21.98628957 ... -20.18215703  17.40055032
  -4.17418662]",5537428,not_blob,not_blob,train,5537428,6,4.0,1,18,6.0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0,3,35.0,1,0,0,0,0,25,13,10,3,10,0,0,0,0,33,17,0,,,,,,,,
636,"[-21.18311051   2.074527   -21.1571274  ... -17.64605732  -0.10662093
  -1.96620954]",5543924,not_blob,not_blob,train,5543924,4,5.0,1,8,10.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,62.0,0,0,0,0,0,12,26,20,0,20,0,0,0,0,31,1,0,,,,,,,,
637,"[ -7.56116535   3.08744002  -5.13191887 ... -18.23329097   0.2453493
 -10.02527429]",5545552,not_blob,not_blob,train,5545552,4,6.0,2,14,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,37.0,0,1,2,0,0,0,1,2,0,1,3,0,0,0,30,10,0,,,,,,,,
638,"[-0.35107229  0.1684536   2.23927742 ... -2.2292794  -1.15280813
 -0.58416438]",5547100,not_blob,not_blob,train,5547100,2,1.0,1,0,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,,,,,,,,
639,"[-1.21632257 -6.53548856  9.96994941 ... -9.93132501 -3.3576804
  5.1967189 ]",5549285,not_blob,not_blob,train,5549285,3,3.0,2,9,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0.0,1,0,29.0,0,0,0,0,0,0,10,9,1,8,0,0,0,0,19,17,0,,,,,,,,
640,"[-19.88865987  -8.88028688  10.68107806 ... -52.73181794 -39.40804642
  44.61509358]",5554251,not_blob,not_blob,train,5554251,16,75.0,1,41,65.0,0.15555556,0.15555556,15,5,10,5,0,0,10,0,0,1,11,4,0,11,0,0.0,10,5,235.0,39,1,13,1,13,23,25,43,6,27,3,1,0,0,149,1,0,,,,,,,,
641,"[-38.90101581  -6.34400006  42.50471032 ... -42.3760924    7.92327929
  -8.21481021]",5558410,not_blob,not_blob,train,5558410,16,21.0,2,16,190.0,0.0,0.0,20,4,15,5,0,0,15,0,0,0,0,0,0,0,0,0.0,0,15,147.0,3,1,0,0,7,37,71,52,6,49,1,1,0,0,68,17,0,,,,,,,,
642,"[-12.40197448  -7.58325552  21.30779406 ... -16.82694186  -0.9586794
  16.84365022]",5562678,not_blob,not_blob,train,5562678,12,38.0,1,0,703.0,0.0,0.0,38,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0.0,0,0,40.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,309,1,0,,,,,,,,
643,"[-1.9650264  -1.47909734  3.39947951 ... -3.85775985 -0.94247063
  4.32518373]",5562874,not_blob,not_blob,train,5562874,4,2.0,2,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0.0,0,0,8.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,,,,,,,,
644,"[ 0.36636297 -1.7767397   4.54947607 ... -4.84161825  0.0804722
  1.17126006]",5563186,not_blob,not_blob,train,5563186,4,4.0,1,1,6.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0.0,0,0,16.0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,17,9,0,,,,,,,,
645,"[-10.91833976  -2.10440203   5.0615762  ... -19.52832098  -9.31853963
  12.27241607]",5565017,not_blob,not_blob,train,5565017,2,8.0,1,19,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,34.0,0,0,2,1,0,1,1,1,1,1,3,0,0,0,13,9,0,,,,,,,,
646,[-1.8076127 -2.1436934  2.0311298 ... -2.7109942 -1.183925   3.5989199],5573352,not_blob,not_blob,train,5573352,5,2.0,2,0,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0.0,0,0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,,,,,,,,
647,"[-5.10868452 -6.52640066  8.23263237 ... -9.89366065 -3.92034559
  8.51168187]",5575053,not_blob,not_blob,train,5575053,0,6.0,1,0,9.0,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0.0,0,0,23.0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0,,,,,,,,
648,"[-13.38076417  -8.10415124  12.97116683 ... -23.82777627  -1.46571256
   9.39818839]",5576325,not_blob,not_blob,train,5576325,11,14.0,2,30,6.0,0.0,0.0,4,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0.0,0,0,48.0,10,1,8,0,0,0,0,9,0,8,2,0,0,0,31,1,0,,,,,,,,
649,"[-16.83154854 -18.52608056  18.59395963 ... -26.54430564  -7.66697913
  28.95604804]",5581462,not_blob,not_blob,train,5581462,0,11.0,1,1,25.0,0.22222222,0.4888889,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0.0,0,0,41.0,6,0,0,1,0,5,1,6,1,4,1,0,0,0,20,1,0,,,,,,,,
650,"[-14.94562538  -9.63443091  16.17759445 ... -27.47939835  -8.97781668
  16.72640234]",5585616,not_blob,not_blob,train,5585616,5,10.0,2,11,0.0,0.53571427,0.75,8,0,7,0,1,0,8,0,0,0,6,4,3,3,0,0.0,5,4,52.0,6,0,2,0,0,3,29,14,15,10,1,0,0,0,83,1,0,,,,,,,,
651,"[-22.81514029 -16.9477434   42.14382697 ... -63.21678685  -8.88102825
  48.51924849]",5586136,not_blob,not_blob,test,5586136,5,48.0,2,22,37.0,0.3970588,0.5735294,19,4,16,2,1,0,17,0,0,0,18,14,1,8,9,0.0,14,3,190.0,18,5,7,0,0,24,25,47,3,30,2,0,0,0,126,17,0,,,,,,,,
652,"[ -1.53091564 -13.15172299  46.26745582 ... -60.36235004  23.20707159
 -25.94571518]",5589404,not_blob,not_blob,train,5589404,4,36.0,1,15,43.0,0.4069264,0.82251084,22,1,20,0,2,0,22,0,0,0,7,0,0,0,7,0.0,0,1,129.0,23,0,13,0,2,26,26,30,29,12,2,0,0,0,83,1025,0,,,,,,,,
653,"[-6.19789682  0.64341942 -4.88369626 ... -6.59342328 -4.17455465
  0.47717185]",5589935,not_blob,not_blob,train,5589935,7,1.0,1,10,0.0,0.2613972291937913,0.32355633344881946,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,23.0,0,0,0,2,0,4,8,10,0,10,2,0,0,0,34,1,0,,,,,,,,
654,"[-17.93451788  -1.66566041   1.52575509 ... -34.01722678  -2.12562288
 -19.37153611]",5593201,not_blob,not_blob,train,5593201,2,5.0,2,6,10.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,239.0,0,0,0,0,0,28,147,188,0,32,0,0,0,0,27,1,0,,,,,,,,
655,"[-4.20845791 -4.10003279  7.25491074 ... -6.70270994 -2.43186826
  8.30136192]",5593588,not_blob,not_blob,test,5593588,7,4.0,1,4,1.0,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0.0,1,0,16.0,3,0,1,0,1,0,0,3,2,3,0,0,0,0,26,9,0,,,,,,,,
656,"[-63.19527423  -4.66184214  -9.43739273 ... -43.46099822   8.9545934
 -21.50501638]",5598779,not_blob,not_blob,test,5598779,18,41.0,1,57,0.0,1.0,1.0,9,1,2,7,0,0,2,0,0,0,8,6,0,8,0,0.0,8,6,205.0,5,8,18,0,0,6,3,36,2,36,4,6,0,0,98,1,0,,,,,,,,
657,"[-6.85341001 -0.51760309  7.15422252 ... -5.40695444 -1.47739191
  3.78384269]",5598817,not_blob,not_blob,test,5598817,4,4.0,2,8,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,1,0,1.0,1,0,21.0,0,1,0,0,0,25,1,8,1,8,1,0,0,0,49,17,0,,,,,,,,
658,"[-31.96852902  -0.24420713  20.09710275 ... -53.3725979  -12.4008351
  32.29344486]",5603925,not_blob,not_blob,train,5603925,23,30.0,2,48,131.0,0.05147059,0.05147059,18,0,10,1,6,1,17,0,0,0,12,11,11,1,0,0.0,11,0,153.0,10,0,12,0,1,2,17,37,1,33,1,0,0,0,102,1,0,,,,,,,,
659,"[-1.50364101 -2.51905273 11.09451343 ... -9.95935607  2.74180785
 -0.56260316]",5605835,not_blob,not_blob,train,5605835,1,6.0,1,0,9.0,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0.0,0,0,23.0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,15,1,0,,,,,,,,
660,"[-4.70143349 -5.23879807  8.02668726 ... -7.41199882  3.44106172
  0.23279653]",5627187,not_blob,not_blob,train,5627187,4,8.0,2,7,1.0,0.93333334,1.0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0.0,0,0,30.0,2,0,0,0,0,3,0,6,1,2,1,0,0,0,21,17,0,,,,,,,,
661,"[ -8.34435109   1.35980646  -5.76107849 ... -16.55307389   3.11011174
   0.77913276]",5630298,not_blob,not_blob,train,5630298,9,8.0,2,17,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,57.0,0,1,3,0,0,0,6,9,2,9,2,0,0,0,36,1,0,,,,,,,,
662,"[  1.431848   -13.07105209  10.94933949 ...  -9.23228494  12.10756992
 -17.02071406]",5640540,not_blob,not_blob,train,5640540,3,15.0,1,10,0.0,0.5090909,0.5090909,11,1,11,0,0,0,11,0,0,0,6,0,6,0,0,0.0,0,2,85.0,2,0,4,0,2,0,18,44,26,18,1,0,0,0,45,1,0,,,,,,,,
663,"[ -5.42358425  -5.70545746   8.91630778 ... -14.74768578   0.15024135
  14.11080651]",5645958,not_blob,not_blob,train,5645958,5,7.0,2,2,6.0,0.0,0.0,4,0,3,0,1,0,4,0,2,0,1,0,0,0,1,0.0,0,0,23.0,5,0,3,0,0,1,0,1,0,2,2,0,0,0,70,1,0,,,,,,,,
664,"[-14.37829062  -3.5315488    4.56816061 ... -44.19822162 -37.38721917
  41.06430236]",5654277,not_blob,not_blob,train,5654277,10,28.0,1,19,15.0,0.0,0.0,6,5,0,1,0,5,5,0,0,0,6,6,0,5,0,1.0,6,6,91.0,10,0,5,0,5,3,52,22,10,15,3,0,0,0,181,16,0,,,,,,,,
665,"[ -6.54287194  -7.51502874   5.54319191 ... -10.73781791  -4.44653272
  12.04648092]",5655437,not_blob,not_blob,test,5655437,5,2.0,6,1,1.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0.0,1,0,39.0,1,0,0,0,0,1,1,1,0,1,0,0,2,0,19,1024,0,,,,,,,,
666,"[-4.24278069 -5.89200954 11.27193213 ... -9.85489637 -0.7605077
  9.95947868]",5657210,not_blob,not_blob,train,5657210,5,6.0,2,1,15.0,0.0,0.0,6,0,3,1,2,0,5,0,0,0,0,0,0,0,0,0.0,0,0,19.0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,68,17,0,,,,,,,,
667,"[ -5.84285575  -5.33668485   9.04273534 ... -12.6297611   -2.49563043
  14.32481313]",5657934,not_blob,not_blob,train,5657934,5,6.0,2,0,15.0,0.0,0.0,6,0,3,1,2,0,5,0,0,0,0,0,0,0,0,0.0,0,0,19.0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,38,17,0,,,,,,,,
668,"[-1.66812533 -2.71339476  1.47623643 ... -2.11845922 -1.51847017
  3.52030027]",5659423,not_blob,not_blob,train,5659423,3,3.0,2,2,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,,,,,,,,
669,"[-12.06986644  -7.69356287  22.47464567 ... -32.91736988  -6.60362888
  35.52968961]",5660710,not_blob,not_blob,train,5660710,6,25.0,1,15,19.0,0.3272727,0.5090909,11,0,10,0,0,1,11,0,3,0,7,5,0,7,0,0.0,7,1,87.0,18,0,6,0,2,3,27,17,9,9,2,0,0,0,117,16,0,,,,,,,,
670,"[-3.76623404 -3.72611153  4.21337757 ... -6.10568804 -0.40902984
  8.13526583]",5663777,not_blob,not_blob,train,5663777,2,3.0,2,0,3.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0.0,0,0,10.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,,,,,,,,
671,"[ -8.6890381   -8.61582872   7.82851353 ... -12.30036195  -3.36489016
  13.29305422]",5666367,not_blob,not_blob,test,5666367,5,4.0,2,2,2.0,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,3,2,0,3,0,0.0,2,0,19.0,3,0,0,0,0,3,1,3,0,3,0,0,0,0,28,1,2,,,,,,,,
672,"[-13.08878613  -9.91019077  17.80552955 ... -23.81367631   0.93645701
  21.86307473]",5667095,not_blob,not_blob,train,5667095,8,20.0,1,26,20.0,0.04761905,0.04761905,9,8,6,3,0,0,7,0,0,0,17,17,4,13,0,0.0,17,11,94.0,14,1,1,1,0,49,4,27,8,25,2,0,0,0,118,1,0,,,,,,,,
673,"[-28.46017442 -10.52714964  37.0735279  ... -23.80866266  18.43514761
 -16.42488481]",5668440,not_blob,not_blob,train,5668440,9,13.0,1,19,0.0,0.5,0.5,4,1,4,0,0,0,4,0,0,0,3,1,0,3,0,0.0,1,2,88.0,3,0,0,2,10,25,10,26,5,19,1,0,0,0,43,1,8,,,,,,,,
674,"[-25.74948113 -19.60742525  36.92634907 ... -34.95105117  -5.461959
  35.04358231]",5670026,not_blob,not_blob,train,5670026,7,31.0,1,3,202.0,0.6956521999999999,1.0,24,0,24,0,0,0,24,0,0,0,5,0,4,1,0,0.0,0,0,101.0,10,0,8,0,3,6,0,16,2,6,2,0,0,0,28,1,0,,,,,,,,
675,"[-2.08968288 -2.70829231  1.44586253 ... -2.31392556 -1.36983424
  3.60545933]",5670492,not_blob,not_blob,train,5670492,9,1.0,2,2,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,5.0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,16,1,0,,,,,,,,
676,"[-12.34294653  -5.17437944  18.67333905 ... -19.47052963  -4.52189752
   6.72304802]",5670638,not_blob,not_blob,train,5670638,25,10.0,2,10,9.0,0.2857143,0.2857143,7,0,7,0,0,0,7,0,0,0,3,0,0,1,2,0.0,0,0,33.0,5,1,1,0,0,7,0,7,1,9,1,0,0,0,92,1,0,,,,,,,,
677,"[ -7.87070088  -3.80533978   8.36931711 ... -13.8782534   -3.19959298
  10.47221711]",5676371,not_blob,not_blob,test,5676371,5,7.0,1,5,6.0,0.0,0.0,4,2,3,1,0,0,3,0,0,0,1,1,0,1,0,0.0,0,0,30.0,5,0,2,0,0,3,0,2,0,2,1,0,0,0,23,17,3,,,,,,,,
678,"[-30.17622434 -26.77656448  33.917057   ... -50.68791318 -14.47595928
  29.66234568]",5681626,not_blob,not_blob,train,5681626,3,23.0,2,7,15.0,0.2857143,0.72527474,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0.0,0,0,104.0,14,0,6,0,2,7,15,33,0,14,2,0,0,0,77,1,0,,,,,,,,
679,"[-15.42743889 -10.45378164  18.86135509 ... -31.34532908  -1.27991565
  22.73906875]",5682673,not_blob,not_blob,train,5682673,14,18.0,2,23,3.0,0.0,0.0,3,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0.0,0,1,70.0,0,0,11,2,11,0,0,20,0,9,2,0,0,0,48,1,0,,,,,,,,
680,"[-51.26437671 -13.96632586  16.35216144 ... -90.2240329  -71.23430741
  40.41604473]",5685504,not_blob,not_blob,test,5685504,17,63.0,1,41,86.0,0.12820514,0.14102565,16,5,13,3,0,0,13,0,6,0,8,3,2,6,0,0.0,6,6,233.0,15,5,24,4,3,33,5,44,5,35,6,0,1,0,135,1,8,,,,,,,,
681,"[-19.54879866 -21.26463045  25.97008108 ... -33.71671213  -9.11325043
  35.3095457 ]",5687952,not_blob,not_blob,train,5687952,7,15.0,2,10,33.0,0.2,0.4,11,0,11,0,0,0,11,0,0,0,6,1,0,5,1,0.0,1,0,56.0,11,0,3,0,0,6,3,8,0,6,1,0,0,0,49,1,0,,,,,,,,
682,"[  3.95459704  -5.84732002  11.33296391 ... -15.37244457  -3.72341419
  12.76970903]",5688699,not_blob,not_blob,train,5688699,4,9.0,1,2,0.0,0.083333336,0.083333336,9,0,9,0,0,0,9,0,0,0,1,0,0,0,1,0.0,0,0,38.0,7,0,0,0,0,0,0,8,0,2,0,0,0,0,20,25,0,,,,,,,,
683,"[-10.0641365   -5.13137895   3.85877474 ... -18.46999696  -1.54735015
   5.77836578]",5689800,not_blob,not_blob,train,5689800,3,7.0,2,12,6.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,1,0,1,0,0.0,1,0,28.0,3,0,1,1,2,1,2,3,0,3,2,0,0,0,25,1,0,,,,,,,,
684,"[ -4.05586886   4.67917897 -21.03917793 ... -13.43072342 -39.01293714
  11.49968944]",5690831,not_blob,not_blob,test,5690831,3,21.0,1,12,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,65.0,1,3,12,0,6,2,22,26,8,15,5,0,0,0,28,1,0,,,,,,,,
685,"[-2.22283751 -2.60414046  5.05290204 ... -4.88889736 -0.54974973
  3.98924112]",5692616,not_blob,not_blob,train,5692616,6,2.0,2,0,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0.0,0,0,8.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,,,,,,,,
686,"[-10.0253388   -5.06139066  17.59327716 ... -28.29795823  14.78320245
  -1.7462146 ]",5699641,not_blob,not_blob,train,5699641,37,83.0,2,45,757.0,0.010752688,0.021505376,42,0,31,11,0,0,31,0,0,0,6,0,0,6,0,0.0,0,0,315.0,4,8,13,0,10,81,17,54,4,41,3,0,0,0,77,8,0,,,,,,,,
687,"[-4.42504755 -5.84649244  1.42285713 ... -5.73785996 -1.74329066
  7.9256717 ]",5702958,not_blob,not_blob,train,5702958,1,2.0,1,0,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,8.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,1,0,,,,,,,,
688,"[-15.81716949  -9.35582606   5.627841   ... -18.5366463  -13.91371348
  23.23550027]",5704168,not_blob,not_blob,train,5704168,12,9.0,2,14,6.0,0.2,0.2,5,2,3,0,2,0,5,0,0,0,3,2,0,2,0,1.0,2,2,35.0,1,1,1,0,0,2,4,8,2,7,2,0,0,0,44,9,0,,,,,,,,
689,"[-33.35228953 -12.35326756   6.06649752 ... -66.1941566    7.97152819
   9.82198878]",5710974,not_blob,not_blob,train,5710974,4,14.0,1,28,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,113.0,0,12,0,0,0,0,12,29,6,26,4,0,0,0,41,10,0,,,,,,,,
690,"[-10.78313553 -12.78136474  15.10365979 ... -21.84474011  -7.06936851
  29.28152166]",5712111,not_blob,not_blob,test,5712111,3,13.0,1,9,0.0,0.6666667,0.71428573,7,0,7,0,0,0,7,0,0,0,3,1,0,3,0,0.0,3,6,49.0,8,0,3,0,2,5,7,10,3,7,2,0,0,0,40,1,0,,,,,,,,
691,"[-8.15722475 -4.10131965  5.41462146 ... -4.91444052  1.707298
 -2.46230948]",5718244,not_blob,not_blob,train,5718244,6,8.0,1,10,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0.0,1,0,29.0,1,1,5,0,0,0,8,15,1,11,3,0,0,0,30,10,0,,,,,,,,
692,"[-15.23041838  -9.51154737  11.3125118  ... -22.03917909  -2.61551667
  18.40027843]",5728323,not_blob,not_blob,test,5728323,11,13.0,2,9,35.0,0.083333336,0.11111111,10,0,6,1,1,2,9,2,1,0,6,3,0,6,0,0.0,6,0,51.0,2,0,0,0,0,7,5,7,3,7,1,0,0,0,72,1025,2,,,,,,,,
693,"[-3.37437827 -1.75665762  5.94838449 ... -7.1697607  -2.7347775
  6.54496874]",5732513,not_blob,not_blob,train,5732513,7,5.0,2,4,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,17.0,2,0,0,0,0,7,7,3,1,3,1,0,0,0,34,1,0,,,,,,,,
694,"[ -6.31366338 -20.91674549  18.40270425 ... -71.06245748 -14.19761805
  26.15351477]",5732518,not_blob,not_blob,train,5732518,5,41.0,2,27,86.0,0.17948718,0.17948718,16,0,13,3,0,0,13,0,0,0,5,0,0,5,0,0.0,5,0,191.0,23,1,16,0,5,1,1,38,3,25,2,0,0,0,50,1,0,,,,,,,,
695,"[-3.81888     3.0667902  13.4487221  ... -7.94229483 -0.08053465
 -8.29243831]",5735246,not_blob,not_blob,test,5735246,8,5.0,2,11,0.0,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,2,0,0,2,0,0.0,2,1,29.0,2,0,0,0,0,2,6,10,1,10,1,0,0,0,41,1,0,,,,,,,,
